store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_0001,2026-03-03T10:05:00Z,1299
STORE_BLR_002,TXN_0002,2026-03-03T10:18:00Z,799
STORE_BLR_002,TXN_0003,2026-03-03T10:32:00Z,2199
STORE_BLR_002,TXN_0004,2026-03-03T10:45:00Z,599
STORE_BLR_002,TXN_0005,2026-03-03T11:02:00Z,1499
STORE_BLR_002,TXN_0006,2026-03-03T11:16:00Z,999
STORE_BLR_002,TXN_0007,2026-03-03T11:31:00Z,1899
STORE_BLR_002,TXN_0008,2026-03-03T11:48:00Z,699
STORE_BLR_002,TXN_0009,2026-03-03T12:05:00Z,2499
STORE_BLR_002,TXN_0010,2026-03-03T12:22:00Z,899
STORE_BLR_002,TXN_0011,2026-03-03T12:41:00Z,1299
STORE_BLR_002,TXN_0012,2026-03-03T13:10:00Z,499
STORE_BLR_002,TXN_0013,2026-03-03T13:28:00Z,1699
STORE_BLR_002,TXN_0014,2026-03-03T13:44:00Z,2299
STORE_BLR_002,TXN_0015,2026-03-03T14:02:00Z,999
STORE_BLR_002,TXN_0016,2026-03-03T14:20:00Z,1599
STORE_BLR_002,TXN_0017,2026-03-03T14:38:00Z,3499
STORE_BLR_002,TXN_0018,2026-03-03T15:05:00Z,799
STORE_BLR_002,TXN_0019,2026-03-03T15:22:00Z,1199
STORE_BLR_002,TXN_0020,2026-03-03T15:45:00Z,2799
